Layer,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,NormalX,NormalY,NormalZ
INSTANTIATE::AGENTS::BIGAGENT,-274.899070708835,0,-105.566891379645,1,0,0,0,1,0
INSTANTIATE::AGENTS::BIGAGENT,-289.814730079289,0,-121.088910680028,1,0,0,0,1,0
INSTANTIATE::AGENTS::BIGAGENT,-275.054975980361,0,-133.949286235394,1,0,0,0,1,0
INSTANTIATE::AGENTS::BIGAGENT,-262.234170811319,0,-120.73277720311,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,-292.624299882127,0,-131.516729756669,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,-288.627690863383,0,-131.002314734454,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,-285.422489571122,0,-131.398018597696,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,-286.05561575231,0,-134.524079117308,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,-257.010952190344,0,-132.901693278016,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,-264.41061443297,0,-137.452287705299,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,-262.629947048381,0,-133.297397141258,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,-260.216153482605,0,-131.635440915641,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-334.786822948673,0,-153.373870958027,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-431.044925169518,0,-150.965925655959,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-515.700963776587,0,-150.951900099904,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-514.561149632526,0,-90.5510938877767,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-515.228046950794,0,24.5595305436644,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-515.108623292443,0,-30.3544732555719,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-432.132365302231,0,-30.1947798298526,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-431.666912552845,0,24.3880055343477,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-328.593760755375,0,-20.685233954944,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-330.18831886343,0,24.5940900774644,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-48.8100505636959,0,24.3955886857952,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-136.704504286669,0,24.4494733547248,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-229.13400934097,0,24.510704505408,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-229.724548910318,0,-30.1839891168513,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-137.765973719831,0,-30.1982767172384,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-50.9830397102036,0,-30.0106431989683,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-50.1449957714084,0,-90.6884392985957,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-135.22269821137,0,-90.7859387338428,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-134.685968523942,0,-151.069692510125,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-51.722894887869,0,-151.013798248583,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-51.18037261644,0,-224.240623488979,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-137.681571389463,0,-224.057291639118,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-230.363934307736,0,-211.453276327146,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-330.562997075514,0,-216.790296563868,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-430.023271482522,0,-215.162993580918,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-515.478801493438,0,-214.936020061633,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-516.61849232291,0,-278.400923631264,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-432.436419779308,0,-277.905641898638,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-332.041679537565,0,-272.958911029046,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-230.220876282283,0,-278.026851766132,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-137.825288763346,0,-273.151245405971,1,0,0,0,1,0
INSTANTIATE::TARGETS::MIDALLEY,-51.2263241666145,0,-278.118648442474,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,-60.6710573271827,0,-139.099276280637,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,-131.384439131582,0,-206.031456423768,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,-146.605952389551,0,-234.744765524027,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,-516.989871548349,0,-230.580029257947,1,0,0,0,1,0
